X,T
  5.11005110E-03,  1.21222060E+02
  5.12005120E-03,  1.21085999E+02
  5.13005130E-03,  1.20949938E+02
  5.14005140E-03,  1.20815266E+02
  5.15005150E-03,  1.20680594E+02
  5.16005160E-03,  1.20547302E+02
  5.17005170E-03,  1.20414010E+02
  5.18005180E-03,  1.20282089E+02
  5.19005190E-03,  1.20150168E+02
  5.20005200E-03,  1.20019609E+02
  5.21005210E-03,  1.19889050E+02
  5.22005220E-03,  1.19759845E+02
  5.23005230E-03,  1.19630639E+02
  5.24005240E-03,  1.19502778E+02
  5.25005250E-03,  1.19374917E+02
  5.26005260E-03,  1.19248392E+02
  5.27005270E-03,  1.19121866E+02
  5.28005280E-03,  1.18996667E+02
  5.29005290E-03,  1.18871469E+02
  5.30005300E-03,  1.18747587E+02
  5.31005310E-03,  1.18623706E+02
  5.32005320E-03,  1.18501133E+02
  5.33005330E-03,  1.18378561E+02
  5.34005340E-03,  1.18257288E+02
  5.35005350E-03,  1.18136015E+02
  5.36005360E-03,  1.18016033E+02
  5.37005370E-03,  1.17896051E+02
  5.38005380E-03,  1.17777350E+02
  5.39005390E-03,  1.17658650E+02
  5.40005400E-03,  1.17541222E+02
  5.41005410E-03,  1.17423794E+02
  5.42005420E-03,  1.17307630E+02
  5.43005430E-03,  1.17191466E+02
  5.44005440E-03,  1.17076557E+02
  5.45005450E-03,  1.16961647E+02
  5.46005460E-03,  1.16847984E+02
  5.47005470E-03,  1.16734320E+02
  5.48005480E-03,  1.16621893E+02
  5.49005490E-03,  1.16509466E+02
  5.50005500E-03,  1.16398267E+02
  5.51005510E-03,  1.16287068E+02
  5.52005520E-03,  1.16177087E+02
  5.53005530E-03,  1.16067106E+02
  5.54005540E-03,  1.15958336E+02
  5.55005550E-03,  1.15849565E+02
  5.56005560E-03,  1.15741995E+02
  5.57005570E-03,  1.15634424E+02
  5.58005580E-03,  1.15528046E+02
  5.59005590E-03,  1.15421667E+02
  5.60005600E-03,  1.15316471E+02
  5.61005610E-03,  1.15211276E+02
  5.62005620E-03,  1.15107254E+02
  5.63005630E-03,  1.15003231E+02
  5.64005640E-03,  1.14900374E+02
  5.65005650E-03,  1.14797517E+02
  5.66005660E-03,  1.14695815E+02
  5.67005670E-03,  1.14594113E+02
  5.68005680E-03,  1.14493558E+02
  5.69005690E-03,  1.14393004E+02
  5.70005700E-03,  1.14293587E+02
  5.71005710E-03,  1.14194170E+02
  5.72005720E-03,  1.14095881E+02
  5.73005730E-03,  1.13997593E+02
  5.74005740E-03,  1.13900425E+02
  5.75005750E-03,  1.13803257E+02
  5.76005760E-03,  1.13707200E+02
  5.77005770E-03,  1.13611143E+02
  5.78005780E-03,  1.13516187E+02
  5.79005790E-03,  1.13421232E+02
  5.80005800E-03,  1.13327371E+02
  5.81005810E-03,  1.13233509E+02
  5.82005820E-03,  1.13140731E+02
  5.83005830E-03,  1.13047954E+02
  5.84005840E-03,  1.12956252E+02
  5.85005850E-03,  1.12864550E+02
  5.86005860E-03,  1.12773915E+02
  5.87005870E-03,  1.12683280E+02
  5.88005880E-03,  1.12593702E+02
  5.89005890E-03,  1.12504125E+02
  5.90005900E-03,  1.12415596E+02
  5.91005910E-03,  1.12327068E+02
  5.92005920E-03,  1.12239580E+02
  5.93005930E-03,  1.12152092E+02
  5.94005940E-03,  1.12065635E+02
  5.95005950E-03,  1.11979178E+02
  5.96005960E-03,  1.11893744E+02
  5.97005970E-03,  1.11808310E+02
  5.98005980E-03,  1.11723891E+02
  5.99005990E-03,  1.11639471E+02
  6.00006000E-03,  1.11556056E+02
  6.01006010E-03,  1.11472641E+02
  6.02006020E-03,  1.11390223E+02
  6.03006030E-03,  1.11307806E+02
  6.04006040E-03,  1.11226376E+02
  6.05006050E-03,  1.11144946E+02
  6.06006060E-03,  1.11064495E+02
  6.07006070E-03,  1.10984044E+02
  6.08006080E-03,  1.10904565E+02
  6.09006090E-03,  1.10825085E+02
  6.10006100E-03,  1.10746567E+02
  6.11006110E-03,  1.10668050E+02
  6.12006120E-03,  1.10590486E+02
  6.13006130E-03,  1.10512922E+02
  6.14006140E-03,  1.10436303E+02
  6.15006150E-03,  1.10359684E+02
  6.16006160E-03,  1.10284002E+02
  6.17006170E-03,  1.10208320E+02
  6.18006180E-03,  1.10133565E+02
  6.19006190E-03,  1.10058811E+02
  6.20006200E-03,  1.09984977E+02
  6.21006210E-03,  1.09911143E+02
  6.22006220E-03,  1.09838220E+02
  6.23006230E-03,  1.09765297E+02
  6.24006240E-03,  1.09693277E+02
  6.25006250E-03,  1.09621257E+02
  6.26006260E-03,  1.09550132E+02
  6.27006270E-03,  1.09479007E+02
  6.28006280E-03,  1.09408768E+02
  6.29006290E-03,  1.09338529E+02
  6.30006300E-03,  1.09269168E+02
  6.31006310E-03,  1.09199807E+02
  6.32006320E-03,  1.09131316E+02
  6.33006330E-03,  1.09062825E+02
  6.34006340E-03,  1.08995196E+02
  6.35006350E-03,  1.08927566E+02
  6.36006360E-03,  1.08860790E+02
  6.37006370E-03,  1.08794014E+02
  6.38006380E-03,  1.08728084E+02
  6.39006390E-03,  1.08662153E+02
  6.40006400E-03,  1.08597060E+02
  6.41006410E-03,  1.08531966E+02
  6.42006420E-03,  1.08467702E+02
  6.43006430E-03,  1.08403438E+02
  6.44006440E-03,  1.08339995E+02
  6.45006450E-03,  1.08276552E+02
  6.46006460E-03,  1.08213922E+02
  6.47006470E-03,  1.08151292E+02
  6.48006480E-03,  1.08089468E+02
  6.49006490E-03,  1.08027643E+02
  6.50006500E-03,  1.07966616E+02
  6.51006510E-03,  1.07905588E+02
  6.52006520E-03,  1.07845350E+02
  6.53006530E-03,  1.07785112E+02
  6.54006540E-03,  1.07725656E+02
  6.55006550E-03,  1.07666200E+02
  6.56006560E-03,  1.07607517E+02
  6.57006570E-03,  1.07548835E+02
  6.58006580E-03,  1.07490918E+02
  6.59006590E-03,  1.07433002E+02
  6.60006600E-03,  1.07375843E+02
  6.61006610E-03,  1.07318685E+02
  6.62006620E-03,  1.07262278E+02
  6.63006630E-03,  1.07205870E+02
  6.64006640E-03,  1.07150206E+02
  6.65006650E-03,  1.07094541E+02
  6.66006660E-03,  1.07039612E+02
  6.67006670E-03,  1.06984683E+02
  6.68006680E-03,  1.06930482E+02
  6.69006690E-03,  1.06876281E+02
  6.70006700E-03,  1.06822800E+02
  6.71006710E-03,  1.06769320E+02
  6.72006720E-03,  1.06716552E+02
  6.73006730E-03,  1.06663784E+02
  6.74006740E-03,  1.06611722E+02
  6.75006750E-03,  1.06559659E+02
  6.76006760E-03,  1.06508295E+02
  6.77006770E-03,  1.06456931E+02
  6.78006780E-03,  1.06406258E+02
  6.79006790E-03,  1.06355584E+02
  6.80006800E-03,  1.06305594E+02
  6.81006810E-03,  1.06255604E+02
  6.82006820E-03,  1.06206291E+02
  6.83006830E-03,  1.06156977E+02
  6.84006840E-03,  1.06108332E+02
  6.85006850E-03,  1.06059688E+02
  6.86006860E-03,  1.06011705E+02
  6.87006870E-03,  1.05963722E+02
  6.88006880E-03,  1.05916394E+02
  6.89006890E-03,  1.05869066E+02
  6.90006900E-03,  1.05822386E+02
  6.91006910E-03,  1.05775706E+02
  6.92006920E-03,  1.05729666E+02
  6.93006930E-03,  1.05683627E+02
  6.94006940E-03,  1.05638221E+02
  6.95006950E-03,  1.05592815E+02
  6.96006960E-03,  1.05548036E+02
  6.97006970E-03,  1.05503257E+02
