X,Y,Z,U,V
0.06,1.26,0.0,-2.4548318061310403e-08,7.206426966859073e-08
0.06,1.28,0.0,-2.211607253107903e-08,6.259103977200036e-08
0.06,1.3,0.0,-1.9885861622780636e-08,5.430814615676608e-08
0.06,1.32,0.0,-1.7846853036475784e-08,4.707392021292829e-08
0.06,1.34,0.0,-1.598776191894654e-08,4.076245846643112e-08
0.06,1.36,0.0,-1.4297101933402216e-08,3.526201557555912e-08
0.06,1.38,0.0,-1.2763388337531272e-08,3.0473542153050064e-08
0.06,1.4,0.0,-1.1375299804471128e-08,2.6309356750846194e-08
0.06,1.42,0.0,-1.0121804965589272e-08,2.269194183999793e-08
0.06,1.44,0.0,-8.992258962939844e-09,1.955285412802949e-08
0.06,1.46,0.0,-7.976474669684081e-09,1.683174007404969e-08
0.06,1.48,0.0,-7.064772665280839e-09,1.4475447982632433e-08
0.06,1.5,0.0,-6.24801353540155e-09,1.2437228576197336e-08
0.06,1.52,0.0,-5.517615600782894e-09,1.0676016458134704e-08
0.06,1.54,0.0,-4.8655607610815204e-09,9.155785381673164e-09
0.06,1.56,0.0,-4.284390765747133e-09,7.844970729489638e-09
0.06,1.58,0.0,-3.76719589056721e-09,6.715953083863384e-09
0.06,1.6,0.0,-3.307597702534897e-09,5.744597224829002e-09
0.06,1.62,0.0,-2.8997273338503803e-09,4.909841332805921e-09
0.06,1.64,0.0,-2.5382004551220284e-09,4.193331591516478e-09
0.06,1.66,0.0,-2.218089935275804e-09,3.5790977859742303e-09
0.06,1.68,0.0,-1.934896998562025e-09,3.0532658686001517e-09
0.06,1.7,0.0,-1.6845215347884422e-09,2.6038038240785163e-09
0.06,1.72,0.0,-1.4632320851020594e-09,2.220297500641364e-09
0.06,1.74,0.0,-1.2676359100578898e-09,1.8937533925465512e-09
0.06,1.76,0.0,-1.0946494472929319e-09,1.6164256562699555e-09
0.06,1.78,0.0,-9.414693809817596e-10,1.3816649222199207e-09
0.06,1.8,0.0,-8.055444726670671e-10,1.1837867256020403e-09
0.06,1.82,0.0,-6.845482414777682e-10,1.0179576255376268e-09
0.06,1.84,0.0,-5.763525297698769e-10,8.800973118956976e-10
0.06,1.86,0.0,-4.790019466036778e-10,7.66795215845684e-10
0.06,1.88,0.0,-3.90689145102542e-10,6.752403442544359e-10
0.06,1.9,0.0,-3.097308596617361e-10,6.031632511695006e-10
0.06,1.92,0.0,-2.3454460436346926e-10,5.487892432089824e-10
0.06,1.94,0.0,-1.6362591503823206e-10,5.108020827442126e-10
0.06,1.96,0.0,-9.552636045700798e-11,4.883140201560868e-10
0.06,1.98,0.0,-2.895545563487685e-11,4.794538028532334e-10
0.06,2.0,0.0,0.0,0.0
0.08,0.0,0.0,0.1000000014901161,0.0
0.08,0.02,0.0,0.0035840433102989067,5.555449947580772e-05
0.08,0.04,0.0,8.593443695761874e-05,5.376778757488109e-05
0.08,0.06,0.0,1.9743603523923007e-05,4.950207153613179e-05
0.08,0.08,0.0,1.699104803191716e-05,4.5506938330278855e-05
0.08,0.1,0.0,1.5190625055972132e-05,4.184262197008134e-05
0.08,0.12,0.0,1.3557627117186574e-05,3.847300553844455e-05
0.08,0.14,0.0,1.2072537811944892e-05,3.5367088718076365e-05
0.08,0.16,0.0,1.0724717501151914e-05,3.249965177476854e-05
0.08,0.1799999999999999,0.0,9.504368509858915e-06,2.9849798482828856e-05
0.08,0.2,0.0,8.402117226966626e-06,2.7399776258217105e-05
0.08,0.22,0.0,7.408931693786446e-06,2.5134147696571794e-05
0.08,0.2399999999999999,0.0,6.5161369236507055e-06,2.3039228590910185e-05
0.08,0.26,0.0,5.715453378651632e-06,2.1102705901213997e-05
0.08,0.28,0.0,4.999031870146561e-06,1.9313373411819877e-05
0.08,0.2999999999999999,0.0,4.3594771309489016e-06,1.7660944373118338e-05
0.08,0.32,0.0,3.789859434193411e-06,1.6135915211263292e-05
0.08,0.34,0.0,3.283715988760272e-06,1.4729463780576596e-05
0.08,0.3599999999999999,0.0,2.835044346577296e-06,1.3433371475610468e-05
0.08,0.38,0.0,2.438289899939133e-06,1.2239962164627988e-05
0.08,0.4,0.0,2.0883291983830743e-06,1.1142053211001648e-05
0.08,0.4199999999999999,0.0,1.7804504527579096e-06,1.0132915333267028e-05
0.08,0.44,0.0,1.5103322784177426e-06,9.206239029821816e-06
0.08,0.46,0.0,1.2740214728978271e-06,8.356105948299543e-06
0.08,0.4799999999999999,0.0,1.0679104219613235e-06,7.576964027129533e-06
0.08,0.5,0.0,8.887145725321455e-07,6.8636055488666604e-06
0.08,0.52,0.0,7.334502923532215e-07,6.211147466481871e-06
