 X,Y,Z,T,T_a
0.0002,0.0061,0.0,369.582,369.57919745661763
0.0002,0.0062,0.0,369.542,369.53900083206105
0.0002,0.0063,0.0,369.498,369.49438388657217
0.0002,0.0064,0.0,369.448,369.44508038123206
0.0002,0.0065,0.0,369.394,369.39078680076045
0.0002,0.0066,0.0,369.334,369.33115744593556
0.0002,0.0067,0.0,369.269,369.265798590552
0.0002,0.0068,0.0,369.197,369.1942615054827
0.0002,0.0069,0.0,369.119,369.1160341014031
0.0002,0.007,0.0,369.034,369.0305308756925
0.0002,0.0071,0.0,368.94,368.93708076286407
0.0002,0.0072,0.0,368.838,368.83491237447953
0.0002,0.0073,0.0,368.726,368.72313596397913
0.0002,0.0074,0.0,368.604,368.60072125016575
0.0002,0.0075,0.0,368.469,368.46646996016113
0.0002,0.0076,0.0,368.322,368.31898157946097
0.0002,0.0077,0.0,368.159,368.1566102806617
0.0002,0.0078,0.0,367.98,367.9774102802267
0.0002,0.0079,0.0,367.782,367.7790658488252
0.0002,0.008,0.0,367.561,367.55880072907917
0.0002,0.0081,0.0,367.316,367.31325956705354
0.0002,0.0082,0.0,367.041,367.0383507788955
0.0002,0.0083,0.0,366.731,366.7290354661976
0.0002,0.0084,0.0,366.381,366.37903959477615
0.0002,0.0085,0.0,365.983,365.9804550225118
0.0002,0.0086,0.0,365.525,365.52317625612966
0.0002,0.0087,0.0,364.996,364.9940889507612
0.0002,0.0088,0.0,364.378,364.37587377981214
0.0002,0.0089,0.0,363.647,363.6451975749153
0.0002,0.009,0.0,362.771,362.76989737046426
0.0002,0.0091,0.0,361.706,361.70444985276976
0.0002,0.0092,0.0,360.383,360.38240361023804
0.0002,0.0093,0.0,358.703,358.7031871191299
0.0002,0.0094,0.0,356.507,356.50798183205353
0.0002,0.0095,0.0,353.53,353.53323707688094
0.0002,0.0096,0.0,349.308,349.3164989045333
0.0002,0.0097,0.0,342.984,343.00071746527755
0.0002,0.0098,0.0,332.965,332.96497841764153
0.0002,0.0099,0.0,316.715,316.59587168010347
